Gene_ID,DESeq2_log2FC,edgeR_log2FC,Average_log2FC,Gene name,Gene description,Gene type
ENSMUSG00000028780,-0.416862818,-0.419756772,-0.418309795,Sema3c,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:MGI Symbol;Acc:MGI:107557]",protein_coding
ENSMUSG00000028804,0.555696472,0.550603187,0.553149829,Csmd2,CUB and Sushi multiple domains 2 [Source:MGI Symbol;Acc:MGI:2386401],protein_coding
ENSMUSG00000028885,0.584284734,0.57096598,0.577625357,Smpdl3b,"sphingomyelin phosphodiesterase, acid-like 3B [Source:MGI Symbol;Acc:MGI:1916022]",protein_coding
ENSMUSG00000028909,0.458563362,0.450784863,0.454674113,Ptpru,"protein tyrosine phosphatase, receptor type, U [Source:MGI Symbol;Acc:MGI:1321151]",protein_coding
ENSMUSG00000028949,0.342683887,0.333518383,0.338101135,Smarcd3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:MGI Symbol;Acc:MGI:1914243]",protein_coding
ENSMUSG00000028950,0.5850466,0.574023593,0.579535097,Tas1r1,"taste receptor, type 1, member 1 [Source:MGI Symbol;Acc:MGI:1927505]",protein_coding
ENSMUSG00000028962,-0.519570177,-0.52910603,-0.524338103,Slc4a2,"solute carrier family 4 (anion exchanger), member 2 [Source:MGI Symbol;Acc:MGI:109351]",protein_coding
ENSMUSG00000028971,-0.811443639,-0.817705203,-0.814574421,Cort,cortistatin [Source:MGI Symbol;Acc:MGI:109538],protein_coding
ENSMUSG00000028979,0.940166833,0.927781973,0.933974403,Masp2,mannan-binding lectin serine peptidase 2 [Source:MGI Symbol;Acc:MGI:1330832],protein_coding
ENSMUSG00000029068,0.290967547,0.28315118,0.287059364,Ccnl2,cyclin L2 [Source:MGI Symbol;Acc:MGI:1927119],protein_coding
ENSMUSG00000029090,-0.441677528,-0.446582449,-0.444129988,Adgra3,adhesion G protein-coupled receptor A3 [Source:MGI Symbol;Acc:MGI:1917943],protein_coding
ENSMUSG00000029094,-0.31668228,-0.321688642,-0.319185461,Afap1,actin filament associated protein 1 [Source:MGI Symbol;Acc:MGI:1917542],protein_coding
ENSMUSG00000029135,-1.049062754,-1.053404162,-1.051233458,Fosl2,fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858],protein_coding
ENSMUSG00000029167,-0.411881387,-0.413411776,-0.412646581,Ppargc1a,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha [Source:MGI Symbol;Acc:MGI:1342774]",protein_coding
ENSMUSG00000029283,0.376217825,0.369000255,0.37260904,Cdc7,cell division cycle 7 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1309511],protein_coding
ENSMUSG00000029330,-0.285922029,-0.291061808,-0.288491919,Cds1,CDP-diacylglycerol synthase 1 [Source:MGI Symbol;Acc:MGI:1921846],protein_coding
ENSMUSG00000029335,-0.371512029,-0.377016115,-0.374264072,Bmp3,bone morphogenetic protein 3 [Source:MGI Symbol;Acc:MGI:88179],protein_coding
ENSMUSG00000029361,0.440884099,0.43245411,0.436669104,Nos1,"nitric oxide synthase 1, neuronal [Source:MGI Symbol;Acc:MGI:97360]",protein_coding
ENSMUSG00000029442,0.576526604,0.568663302,0.572594953,Wdr66,WD repeat domain 66 [Source:MGI Symbol;Acc:MGI:1918495],protein_coding
ENSMUSG00000029467,-0.412498407,-0.41622224,-0.414360323,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]",protein_coding
ENSMUSG00000029471,-0.340484179,-0.346978502,-0.34373134,Camkk2,"calcium/calmodulin-dependent protein kinase kinase 2, beta [Source:MGI Symbol;Acc:MGI:2444812]",protein_coding
ENSMUSG00000029534,0.367562834,0.36140989,0.364486362,St7,suppression of tumorigenicity 7 [Source:MGI Symbol;Acc:MGI:1927450],protein_coding
ENSMUSG00000029608,-0.457433266,-0.461990415,-0.459711841,Rph3a,rabphilin 3A [Source:MGI Symbol;Acc:MGI:102788],protein_coding
ENSMUSG00000029648,-0.455368792,-0.459331976,-0.457350384,Flt1,FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558],protein_coding
ENSMUSG00000029673,0.478590022,0.470455907,0.474522965,Auts2,autism susceptibility candidate 2 [Source:MGI Symbol;Acc:MGI:1919847],protein_coding
ENSMUSG00000029703,0.352450268,0.34340956,0.347929914,Lrwd1,leucine-rich repeats and WD repeat domain containing 1 [Source:MGI Symbol;Acc:MGI:1918985],protein_coding
ENSMUSG00000029720,0.715579671,0.704682743,0.710131207,Gm20605,predicted gene 20605 [Source:MGI Symbol;Acc:MGI:5306917],protein_coding
ENSMUSG00000029819,-0.536505728,-0.547070729,-0.541788229,Npy,neuropeptide Y [Source:MGI Symbol;Acc:MGI:97374],protein_coding
ENSMUSG00000029843,-1.041305034,-1.056800455,-1.049052744,Slc13a4,"solute carrier family 13 (sodium/sulfate symporters), member 4 [Source:MGI Symbol;Acc:MGI:2442367]",protein_coding
ENSMUSG00000029862,0.585707628,0.579523397,0.582615512,Clcn1,"chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]",protein_coding
ENSMUSG00000030059,-0.356635888,-0.360532977,-0.358584433,Tmf1,TATA element modulatory factor 1 [Source:MGI Symbol;Acc:MGI:2684999],protein_coding
ENSMUSG00000030068,0.578508616,0.570752739,0.574630678,Gm20696,predicted gene 20696 [Source:MGI Symbol;Acc:MGI:5313143],protein_coding
ENSMUSG00000030098,0.311374722,0.303787828,0.307581275,Grip2,glutamate receptor interacting protein 2 [Source:MGI Symbol;Acc:MGI:2681173],protein_coding
ENSMUSG00000030102,-0.476282839,-0.477654907,-0.476968873,Itpr1,"inositol 1,4,5-trisphosphate receptor 1 [Source:MGI Symbol;Acc:MGI:96623]",protein_coding
ENSMUSG00000030103,-0.659088693,-0.66579413,-0.662441412,Bhlhe40,"basic helix-loop-helix family, member e40 [Source:MGI Symbol;Acc:MGI:1097714]",protein_coding
ENSMUSG00000030124,0.828321513,0.817468413,0.822894963,Lag3,lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588],protein_coding
ENSMUSG00000030235,-0.399574928,-0.404647181,-0.402111055,Slco1c1,"solute carrier organic anion transporter family, member 1c1 [Source:MGI Symbol;Acc:MGI:1889679]",protein_coding
ENSMUSG00000030249,-0.514413725,-0.518417693,-0.516415709,Abcc9,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:MGI Symbol;Acc:MGI:1352630]",protein_coding
ENSMUSG00000030302,-0.434517929,-0.439099639,-0.436808784,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2 [Source:MGI Symbol;Acc:MGI:105368]",protein_coding
ENSMUSG00000030337,-0.346955182,-0.355513912,-0.351234547,Vamp1,vesicle-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:1313276],protein_coding
ENSMUSG00000030350,-0.291054883,-0.298170586,-0.294612734,Prmt8,protein arginine N-methyltransferase 8 [Source:MGI Symbol;Acc:MGI:3043083],protein_coding
ENSMUSG00000030351,-0.524435154,-0.528451905,-0.52644353,Tspan11,tetraspanin 11 [Source:MGI Symbol;Acc:MGI:1915748],protein_coding
ENSMUSG00000030523,0.921150919,0.909361552,0.915256236,Trpm1,"transient receptor potential cation channel, subfamily M, member 1 [Source:MGI Symbol;Acc:MGI:1330305]",protein_coding
ENSMUSG00000030527,0.351392576,0.344302728,0.347847652,Crtc3,CREB regulated transcription coactivator 3 [Source:MGI Symbol;Acc:MGI:1917711],protein_coding
ENSMUSG00000030589,-0.829473243,-0.834872124,-0.832172683,Rasgrp4,RAS guanyl releasing protein 4 [Source:MGI Symbol;Acc:MGI:2386851],protein_coding
ENSMUSG00000030677,0.487277746,0.478901514,0.48308963,Kif22,kinesin family member 22 [Source:MGI Symbol;Acc:MGI:109233],protein_coding
ENSMUSG00000030729,-0.4899144,-0.493692891,-0.491803646,Pgm2l1,phosphoglucomutase 2-like 1 [Source:MGI Symbol;Acc:MGI:1918224],protein_coding
ENSMUSG00000030770,-0.398180751,-0.404754542,-0.401467646,Parva,"parvin, alpha [Source:MGI Symbol;Acc:MGI:1931144]",protein_coding
ENSMUSG00000030826,0.431420276,0.419777776,0.425599026,Bcat2,"branched chain aminotransferase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1276534]",protein_coding
ENSMUSG00000030878,-0.579331031,-0.587432769,-0.5833819,Cdr2,cerebellar degeneration-related 2 [Source:MGI Symbol;Acc:MGI:1100885],protein_coding
ENSMUSG00000030889,0.588534569,0.579461781,0.583998175,Vwa3a,von Willebrand factor A domain containing 3A [Source:MGI Symbol;Acc:MGI:3041229],protein_coding
ENSMUSG00000030898,-0.321079367,-0.327089098,-0.324084233,Cckbr,cholecystokinin B receptor [Source:MGI Symbol;Acc:MGI:99479],protein_coding
ENSMUSG00000031137,-0.260838213,-0.267969955,-0.264404084,Fgf13,fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178],protein_coding
ENSMUSG00000031170,-0.901660472,-0.906756394,-0.904208433,Slc38a5,"solute carrier family 38, member 5 [Source:MGI Symbol;Acc:MGI:2148066]",protein_coding
ENSMUSG00000031216,-0.65137872,-0.655507588,-0.653443154,Stard8,START domain containing 8 [Source:MGI Symbol;Acc:MGI:2448556],protein_coding
ENSMUSG00000031283,-0.375048582,-0.38044295,-0.377745766,Chrdl1,chordin-like 1 [Source:MGI Symbol;Acc:MGI:1933172],protein_coding
ENSMUSG00000031299,-0.29178398,-0.297410468,-0.294597224,Pdha1,pyruvate dehydrogenase E1 alpha 1 [Source:MGI Symbol;Acc:MGI:97532],protein_coding
ENSMUSG00000031310,0.26444147,0.256139204,0.260290337,Zmym3,"zinc finger, MYM-type 3 [Source:MGI Symbol;Acc:MGI:1927231]",protein_coding
ENSMUSG00000031389,0.576909433,0.568351524,0.572630478,Arhgap4,Rho GTPase activating protein 4 [Source:MGI Symbol;Acc:MGI:2159577],protein_coding
ENSMUSG00000031398,0.394059398,0.385789764,0.389924581,Plxna3,plexin A3 [Source:MGI Symbol;Acc:MGI:107683],protein_coding
ENSMUSG00000031492,-1.118394218,-1.123341421,-1.12086782,Chrnb3,"cholinergic receptor, nicotinic, beta polypeptide 3 [Source:MGI Symbol;Acc:MGI:106212]",protein_coding
ENSMUSG00000031503,0.324609037,0.316562994,0.320586015,Col4a2,"collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]",protein_coding
ENSMUSG00000031518,0.825416668,0.813710364,0.819563516,Spata4,spermatogenesis associated 4 [Source:MGI Symbol;Acc:MGI:1916531],protein_coding
ENSMUSG00000031530,-1.011037139,-1.01890081,-1.014968974,Dusp4,dual specificity phosphatase 4 [Source:MGI Symbol;Acc:MGI:2442191],protein_coding
ENSMUSG00000031639,-0.427114745,-0.431683782,-0.429399264,Tlr3,toll-like receptor 3 [Source:MGI Symbol;Acc:MGI:2156367],protein_coding
ENSMUSG00000031647,-0.401518334,-0.403150993,-0.402334664,Mfap3l,microfibrillar-associated protein 3-like [Source:MGI Symbol;Acc:MGI:1918556],protein_coding
ENSMUSG00000031706,0.444417301,0.434165899,0.4392916,Rfx1,"regulatory factor X, 1 (influences HLA class II expression) [Source:MGI Symbol;Acc:MGI:105982]",protein_coding
ENSMUSG00000031709,-0.339939311,-0.346761929,-0.34335062,Tbc1d9,"TBC1 domain family, member 9 [Source:MGI Symbol;Acc:MGI:1918560]",protein_coding
ENSMUSG00000031808,0.31391853,0.303371789,0.308645159,Slc27a1,"solute carrier family 27 (fatty acid transporter), member 1 [Source:MGI Symbol;Acc:MGI:1347098]",protein_coding
ENSMUSG00000031841,0.617727454,0.609982522,0.613854988,Cdh13,cadherin 13 [Source:MGI Symbol;Acc:MGI:99551],protein_coding
ENSMUSG00000031847,-0.334663249,-0.342263581,-0.338463415,1700030J22Rik,RIKEN cDNA 1700030J22 gene [Source:MGI Symbol;Acc:MGI:1916778],protein_coding
ENSMUSG00000031860,0.37718535,0.369145476,0.373165413,Pbx4,pre B cell leukemia homeobox 4 [Source:MGI Symbol;Acc:MGI:1931321],protein_coding
ENSMUSG00000031871,-0.514779766,-0.518892683,-0.516836224,Cdh5,cadherin 5 [Source:MGI Symbol;Acc:MGI:105057],protein_coding
ENSMUSG00000031949,0.378660115,0.371235259,0.374947687,Adat1,"adenosine deaminase, tRNA-specific 1 [Source:MGI Symbol;Acc:MGI:1353631]",protein_coding
ENSMUSG00000031994,-0.69820623,-0.702130749,-0.700168489,Adamts8,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8 [Source:MGI Symbol;Acc:MGI:1353468]",protein_coding
ENSMUSG00000031996,-0.248687061,-0.25447656,-0.251581811,Aplp2,amyloid beta (A4) precursor-like protein 2 [Source:MGI Symbol;Acc:MGI:88047],protein_coding
ENSMUSG00000032017,0.443093995,0.437456322,0.440275158,Grik4,"glutamate receptor, ionotropic, kainate 4 [Source:MGI Symbol;Acc:MGI:95817]",protein_coding
ENSMUSG00000032036,0.612802445,0.605314931,0.609058688,Kirrel3,kirre like nephrin family adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1914953],protein_coding
ENSMUSG00000032087,0.512052779,0.504468811,0.508260795,Dscaml1,DS cell adhesion molecule like 1 [Source:MGI Symbol;Acc:MGI:2150309],protein_coding
ENSMUSG00000032224,-0.242982886,-0.249626216,-0.246304551,Fam81a,"family with sequence similarity 81, member A [Source:MGI Symbol;Acc:MGI:1924136]",protein_coding
ENSMUSG00000032243,0.475090268,0.466788563,0.470939416,Itga11,integrin alpha 11 [Source:MGI Symbol;Acc:MGI:2442114],protein_coding
ENSMUSG00000032261,-0.361338473,-0.367404528,-0.3643715,Sh3bgrl2,SH3 domain binding glutamic acid-rich protein like 2 [Source:MGI Symbol;Acc:MGI:1915350],protein_coding
ENSMUSG00000032262,-0.25865708,-0.265578445,-0.262117762,Elovl4,"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4 [Source:MGI Symbol;Acc:MGI:1933331]",protein_coding
ENSMUSG00000032265,-0.746492254,-0.754231249,-0.750361751,Tent5a,terminal nucleotidyltransferase 5A [Source:MGI Symbol;Acc:MGI:2670964],protein_coding
ENSMUSG00000032279,-0.262630394,-0.269724124,-0.266177259,Idh3a,isocitrate dehydrogenase 3 (NAD+) alpha [Source:MGI Symbol;Acc:MGI:1915084],protein_coding
ENSMUSG00000032291,0.863337586,0.850639756,0.856988671,Crabp1,cellular retinoic acid binding protein I [Source:MGI Symbol;Acc:MGI:88490],protein_coding
ENSMUSG00000032295,0.32660839,0.316178098,0.321393244,Man2c1,"mannosidase, alpha, class 2C, member 1 [Source:MGI Symbol;Acc:MGI:1920994]",protein_coding
ENSMUSG00000032303,-0.918759187,-0.925727715,-0.922243451,Chrna3,"cholinergic receptor, nicotinic, alpha polypeptide 3 [Source:MGI Symbol;Acc:MGI:87887]",protein_coding
ENSMUSG00000032360,-0.632853627,-0.637390447,-0.635122037,Hcrtr2,hypocretin (orexin) receptor 2 [Source:MGI Symbol;Acc:MGI:2680765],protein_coding
ENSMUSG00000032487,-1.241915611,-1.247343671,-1.244629641,Ptgs2,prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798],protein_coding
ENSMUSG00000032501,-0.80380568,-0.809883551,-0.806844616,Trib1,tribbles pseudokinase 1 [Source:MGI Symbol;Acc:MGI:2443397],protein_coding
ENSMUSG00000032582,0.323536248,0.316574792,0.32005552,Rbm6,RNA binding motif protein 6 [Source:MGI Symbol;Acc:MGI:1338037],protein_coding
ENSMUSG00000032586,0.599356551,0.588730009,0.59404328,Traip,TRAF-interacting protein [Source:MGI Symbol;Acc:MGI:1096377],protein_coding
ENSMUSG00000032782,0.373140822,0.363645989,0.368393406,Cntrob,"centrobin, centrosomal BRCA2 interacting protein [Source:MGI Symbol;Acc:MGI:2443290]",protein_coding
ENSMUSG00000032827,-0.348873989,-0.351938375,-0.350406182,Ppp1r9a,"protein phosphatase 1, regulatory subunit 9A [Source:MGI Symbol;Acc:MGI:2442401]",protein_coding
ENSMUSG00000032939,0.317123953,0.312098893,0.314611423,Nup93,nucleoporin 93 [Source:MGI Symbol;Acc:MGI:1919055],protein_coding
ENSMUSG00000032968,0.42920629,0.420007641,0.424606965,Inha,inhibin alpha [Source:MGI Symbol;Acc:MGI:96569],protein_coding
ENSMUSG00000032985,0.56513135,0.56098525,0.5630583,5730522E02Rik,RIKEN cDNA 5730522E02 gene [Source:MGI Symbol;Acc:MGI:1917876],protein_coding
ENSMUSG00000033124,-0.389569287,-0.396350509,-0.392959898,Atg9a,autophagy related 9A [Source:MGI Symbol;Acc:MGI:2138446],protein_coding
ENSMUSG00000033149,-0.48783931,-0.491993169,-0.489916239,Phldb2,"pleckstrin homology like domain, family B, member 2 [Source:MGI Symbol;Acc:MGI:2444981]",protein_coding
ENSMUSG00000033161,-0.409038373,-0.415757911,-0.412398142,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:88105]",protein_coding
ENSMUSG00000033209,0.402410248,0.395388019,0.398899133,Ttc28,tetratricopeptide repeat domain 28 [Source:MGI Symbol;Acc:MGI:2140873],protein_coding
ENSMUSG00000033216,0.327850384,0.321559702,0.324705043,Eefsec,"eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]",protein_coding
ENSMUSG00000033308,0.539384416,0.529845513,0.534614964,Dpyd,dihydropyrimidine dehydrogenase [Source:MGI Symbol;Acc:MGI:2139667],protein_coding
ENSMUSG00000033377,-0.433204799,-0.438525549,-0.435865174,Palmd,palmdelphin [Source:MGI Symbol;Acc:MGI:2148896],protein_coding
ENSMUSG00000033453,-0.613708779,-0.62277453,-0.618241655,Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 [Source:MGI Symbol;Acc:MGI:2449569]",protein_coding
ENSMUSG00000033557,-0.323301426,-0.329389672,-0.326345549,Fam20b,"family with sequence similarity 20, member B [Source:MGI Symbol;Acc:MGI:2443990]",protein_coding
ENSMUSG00000033581,0.81776102,0.810524304,0.814142662,Igf2bp2,insulin-like growth factor 2 mRNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1890358],protein_coding
ENSMUSG00000033615,-0.327186237,-0.334887829,-0.331037033,Cplx1,complexin 1 [Source:MGI Symbol;Acc:MGI:104727],protein_coding
ENSMUSG00000033730,-0.795821105,-0.801202853,-0.798511979,Egr3,early growth response 3 [Source:MGI Symbol;Acc:MGI:1306780],protein_coding
ENSMUSG00000033863,-0.488930613,-0.491453532,-0.490192073,Klf9,Kruppel-like factor 9 [Source:MGI Symbol;Acc:MGI:1333856],protein_coding
ENSMUSG00000033900,-0.377427945,-0.381101851,-0.379264898,Map9,microtubule-associated protein 9 [Source:MGI Symbol;Acc:MGI:2442208],protein_coding
ENSMUSG00000033953,-0.416766607,-0.422162672,-0.419464639,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I) [Source:MGI Symbol;Acc:MGI:107172]",protein_coding
ENSMUSG00000033960,-0.650914197,-0.653200772,-0.652057485,Jcad,junctional cadherin 5 associated [Source:MGI Symbol;Acc:MGI:2685174],protein_coding
ENSMUSG00000033998,-0.30465321,-0.310971704,-0.307812457,Kcnk1,"potassium channel, subfamily K, member 1 [Source:MGI Symbol;Acc:MGI:109322]",protein_coding
ENSMUSG00000034023,0.575882219,0.568636619,0.572259419,Fancd2,"Fanconi anemia, complementation group D2 [Source:MGI Symbol;Acc:MGI:2448480]",protein_coding
ENSMUSG00000034145,0.375066506,0.369391321,0.372228914,Tmem63c,transmembrane protein 63c [Source:MGI Symbol;Acc:MGI:2444386],protein_coding
ENSMUSG00000034158,-0.344700086,-0.348045688,-0.346372887,Lrrc58,leucine rich repeat containing 58 [Source:MGI Symbol;Acc:MGI:2443542],protein_coding
ENSMUSG00000034187,-0.250759114,-0.2569223,-0.253840707,Nsf,N-ethylmaleimide sensitive fusion protein [Source:MGI Symbol;Acc:MGI:104560],protein_coding
ENSMUSG00000034210,-0.372329918,-0.375598691,-0.373964304,Efcab14,EF-hand calcium binding domain 14 [Source:MGI Symbol;Acc:MGI:2442397],protein_coding
ENSMUSG00000034336,-0.246537472,-0.254013427,-0.25027545,Ina,"internexin neuronal intermediate filament protein, alpha [Source:MGI Symbol;Acc:MGI:96568]",protein_coding
ENSMUSG00000034557,-0.317780393,-0.321976698,-0.319878546,Zfyve9,"zinc finger, FYVE domain containing 9 [Source:MGI Symbol;Acc:MGI:2652838]",protein_coding
ENSMUSG00000034584,-0.688750881,-0.686897372,-0.687824127,Exph5,exophilin 5 [Source:MGI Symbol;Acc:MGI:2443248],protein_coding
ENSMUSG00000034593,-0.418985309,-0.4206729,-0.419829105,Myo5a,myosin VA [Source:MGI Symbol;Acc:MGI:105976],protein_coding
ENSMUSG00000034616,0.317962261,0.309907633,0.313934947,Ssh3,slingshot protein phosphatase 3 [Source:MGI Symbol;Acc:MGI:2683546],protein_coding
ENSMUSG00000034640,-0.711158769,-0.71345167,-0.712305219,Tiparp,TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210],protein_coding
ENSMUSG00000034684,0.581750653,0.574105049,0.577927851,Sema3f,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:MGI Symbol;Acc:MGI:1096347]",protein_coding
ENSMUSG00000034765,-0.721874515,-0.724368237,-0.723121376,Dusp5,dual specificity phosphatase 5 [Source:MGI Symbol;Acc:MGI:2685183],protein_coding
ENSMUSG00000034771,0.54895947,0.539348258,0.544153864,Tle2,transducin-like enhancer of split 2 [Source:MGI Symbol;Acc:MGI:104635],protein_coding
ENSMUSG00000034813,0.515116154,0.507604792,0.511360473,Grip1,glutamate receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1921303],protein_coding
ENSMUSG00000034936,-0.702905682,-0.709672705,-0.706289193,Arl4d,ADP-ribosylation factor-like 4D [Source:MGI Symbol;Acc:MGI:1933155],protein_coding
ENSMUSG00000034949,0.343691641,0.334237848,0.338964744,Zfr2,zinc finger RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:2143792],protein_coding
ENSMUSG00000035067,0.609840738,0.605539614,0.607690176,Xkr6,X-linked Kx blood group related 6 [Source:MGI Symbol;Acc:MGI:2447765],protein_coding
ENSMUSG00000035283,-0.598528685,-0.604952467,-0.601740576,Adrb1,"adrenergic receptor, beta 1 [Source:MGI Symbol;Acc:MGI:87937]",protein_coding
ENSMUSG00000035329,-0.508191194,-0.51199625,-0.510093722,Fbxo33,F-box protein 33 [Source:MGI Symbol;Acc:MGI:1917861],protein_coding
ENSMUSG00000035407,-0.558349389,-0.567189358,-0.562769374,Kank4,KN motif and ankyrin repeat domains 4 [Source:MGI Symbol;Acc:MGI:3043381],protein_coding
ENSMUSG00000035504,-0.436657472,-0.447398303,-0.442027888,Reep6,receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585],protein_coding
ENSMUSG00000035545,0.39715498,0.389015341,0.393085161,Leng8,leukocyte receptor cluster (LRC) member 8 [Source:MGI Symbol;Acc:MGI:2142195],protein_coding
ENSMUSG00000035606,-0.852787689,-0.857227398,-0.855007544,Ky,kyphoscoliosis peptidase [Source:MGI Symbol;Acc:MGI:96709],protein_coding
ENSMUSG00000035621,-0.449409069,-0.458218823,-0.453813946,Midn,midnolin [Source:MGI Symbol;Acc:MGI:1890222],protein_coding
ENSMUSG00000035828,-0.375996649,-0.382493509,-0.379245079,Pim3,proviral integration site 3 [Source:MGI Symbol;Acc:MGI:1355297],protein_coding
ENSMUSG00000035891,-0.260834778,-0.267026479,-0.263930628,Cerk,ceramide kinase [Source:MGI Symbol;Acc:MGI:2386052],protein_coding
ENSMUSG00000035919,0.328312759,0.320769769,0.324541264,Bbs9,Bardet-Biedl syndrome 9 (human) [Source:MGI Symbol;Acc:MGI:2442833],protein_coding
ENSMUSG00000036036,0.774993865,0.766626533,0.770810199,Zfp57,zinc finger protein 57 [Source:MGI Symbol;Acc:MGI:99204],protein_coding
ENSMUSG00000036218,0.642493887,0.635253778,0.638873833,Pdzrn4,PDZ domain containing RING finger 4 [Source:MGI Symbol;Acc:MGI:3056996],protein_coding
ENSMUSG00000036242,-0.521558998,-0.52647306,-0.524016029,Armh4,armadillo-like helical domain containing 4 [Source:MGI Symbol;Acc:MGI:1914669],protein_coding
ENSMUSG00000036246,0.426341962,0.415068312,0.420705137,Gmip,Gem-interacting protein [Source:MGI Symbol;Acc:MGI:1926066],protein_coding
ENSMUSG00000036273,-0.410357879,-0.412201453,-0.411279666,Lrrk2,leucine-rich repeat kinase 2 [Source:MGI Symbol;Acc:MGI:1913975],protein_coding
ENSMUSG00000036304,-0.401075285,-0.405074982,-0.403075134,Zdhhc23,"zinc finger, DHHC domain containing 23 [Source:MGI Symbol;Acc:MGI:2685625]",protein_coding
ENSMUSG00000036437,-0.397761514,-0.402307199,-0.400034357,Npy1r,neuropeptide Y receptor Y1 [Source:MGI Symbol;Acc:MGI:104963],protein_coding
ENSMUSG00000036459,0.512619415,0.501880601,0.507250008,Wtip,WT1-interacting protein [Source:MGI Symbol;Acc:MGI:2141920],protein_coding
ENSMUSG00000036469,0.382825858,0.378322271,0.380574065,1-Mar,membrane-associated ring finger (C3HC4) 1 [Source:MGI Symbol;Acc:MGI:1920175],protein_coding
ENSMUSG00000036502,0.346411117,0.33918703,0.342799074,Tmem255a,transmembrane protein 255A [Source:MGI Symbol;Acc:MGI:3045722],protein_coding
ENSMUSG00000036545,0.735937729,0.727291648,0.731614688,Adamts2,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2 [Source:MGI Symbol;Acc:MGI:1347356]",protein_coding
ENSMUSG00000036552,0.397698336,0.391608107,0.394653222,Ermard,ER membrane associated RNA degradation [Source:MGI Symbol;Acc:MGI:1917317],protein_coding
ENSMUSG00000036555,0.322272435,0.314823636,0.318548035,Iqce,IQ motif containing E [Source:MGI Symbol;Acc:MGI:1921489],protein_coding
ENSMUSG00000036568,0.433958349,0.427171722,0.430565036,Bicral,BRD4 interacting chromatin remodeling complex associated protein like [Source:MGI Symbol;Acc:MGI:2673855],protein_coding
ENSMUSG00000036644,-0.352987384,-0.359967996,-0.35647769,Tbc1d9b,"TBC1 domain family, member 9B [Source:MGI Symbol;Acc:MGI:1924045]",protein_coding
ENSMUSG00000036699,0.446339358,0.435113611,0.440726484,Zcchc12,"zinc finger, CCHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1919943]",protein_coding
ENSMUSG00000036745,-0.433314494,-0.436188051,-0.434751273,Ttll7,"tubulin tyrosine ligase-like family, member 7 [Source:MGI Symbol;Acc:MGI:1918142]",protein_coding
ENSMUSG00000036814,-0.528814786,-0.53832756,-0.533571173,Slc6a20a,"solute carrier family 6 (neurotransmitter transporter), member 20A [Source:MGI Symbol;Acc:MGI:2143217]",protein_coding
ENSMUSG00000036834,-0.482956613,-0.488866444,-0.485911529,Plch1,"phospholipase C, eta 1 [Source:MGI Symbol;Acc:MGI:2683547]",protein_coding
ENSMUSG00000036856,-0.54209769,-0.551157729,-0.54662771,Wnt4,"wingless-type MMTV integration site family, member 4 [Source:MGI Symbol;Acc:MGI:98957]",protein_coding
ENSMUSG00000036887,0.456405517,0.444742508,0.450574013,C1qa,"complement component 1, q subcomponent, alpha polypeptide [Source:MGI Symbol;Acc:MGI:88223]",protein_coding
ENSMUSG00000037010,-0.487395132,-0.496756737,-0.492075935,Apln,apelin [Source:MGI Symbol;Acc:MGI:1353624],protein_coding
